1668615300,449.04,449.04
1668615360,509.92,509.92
1668615420,787.55,787.55
1668615480,1132.88,582.17
1668615540,662.03,584.13
1668615600,545.55,586.96
1668615660,841.70,590.13
1668615720,119.22,593.40
1668615780,7.05,596.62
1668615840,21.14,583.94
1668615900,0.00,564.02
1668615960,7.05,541.17
1668616020,105.68,517.48
1668616080,28.18,494.00
1668616140,0.00,480.32
1668616200,727.27,471.63
1668616260,815.75,465.53
1668616320,52.81,460.82
1668616380,63.41,448.51
1668616440,0.00,432.91
1668616500,0.00,422.48
1668616560,0.00,414.78
1668616620,327.51,408.57
1668616680,1234.99,403.21
1668616740,1488.33,398.40
1668616800,697.34,404.97
1668616860,751.41,416.78
1668616920,544.74,430.78
1668616980,280.56,445.47
1668617040,326.62,460.12
1668617100,374.79,464.35
1668617160,244.52,463.52
1668617220,165.50,457.64
1668617280,287.33,449.39
1668617340,264.42,440.21
1668617400,217.62,430.83
1668617460,235.09,421.56
1668617520,238.02,412.58
1668617580,250.32,403.96
1668617640,251.09,395.72
1668617700,225.02,387.88
1668617760,223.69,380.08
1668617820,189.40,372.47
1668617880,87.05,364.28
1668617940,92.87,354.66
1668618000,83.71,344.61
1668618060,150.53,334.60
1668618120,262.15,324.86
1668618180,233.22,315.50
1668618240,0.00,308.99
1668618300,49.30,300.97
1668618360,154.93,292.44
1668618420,175.83,283.87
1668618480,179.62,275.51
1668618540,223.23,267.44
1668618600,257.71,262.94
1668618660,230.27,260.24
1668618720,193.42,258.20
1668618780,196.95,255.84
1668618840,201.69,253.38
1668618900,216.72,250.94
1668618960,202.88,248.56
1668619020,146.27,246.28
1668619080,98.33,242.69
1668619140,177.65,238.53
1668619200,157.19,234.20
1668619260,73.78,229.90
1668619320,173.28,226.64
1668619380,220.57,223.95
1668619440,252.64,221.61
1668619500,185.53,219.48
1668619560,400.74,217.51
1668619620,650.54,221.16
1668619680,860.11,233.62
1668619740,921.91,255.21
1668619800,1185.17,282.13
1668619860,945.98,313.75
1668619920,975.38,346.81
1668619980,1140.08,379.74
1668620040,1120.12,409.57
1668620100,1061.44,437.20
1668620160,824.52,463.08
1668620220,592.19,487.49
1668620280,1073.63,510.59
1668620340,1068.63,535.14
1668620400,1018.38,559.76
1668620460,1090.43,583.79
1668620520,1288.56,605.94
1668620580,822.00,626.64
1668620640,953.54,646.14
1668620700,910.74,664.57
1668620760,783.36,682.04
1668620820,917.24,692.87
1668620880,1042.76,703.62
1668620940,1064.99,716.32
1668621000,1016.22,729.63
1668621060,941.25,742.90
1668621120,971.75,755.81
1668621180,806.72,768.24
1668621240,744.74,774.33
1668621300,826.75,777.25
1668621360,828.62,778.83
1668621420,731.73,779.72
1668621480,751.16,780.26
1668621540,737.20,780.63
1668621600,219.86,779.72
1668621660,318.05,771.10
1668621720,368.72,759.04
1668621780,582.13,745.65
1668621840,773.35,731.95
1668621900,812.70,718.46
1668621960,743.99,712.64
1668622020,728.52,710.60
1668622080,737.42,710.42
1668622140,686.88,711.12
1668622200,560.50,712.22
1668622260,487.15,708.95
1668622320,454.64,701.85
1668622380,426.61,692.30
1668622440,403.36,681.12
1668622500,240.40,668.87
1668622560,211.38,653.75
1668622620,319.33,637.64
1668622680,343.79,621.48
1668622740,369.47,605.68
